Identifiant,Titre,Latitude,Longitude,Prix nuitee,Commune,Departement,Type de propriete,Id. type de logement,Type de logement,Capacite d'accueil,Nombre de salles de bain,Nombre de chambres,Nombre de lits,Type de lit,Cuisine,Internet,Television,Produits de base,Shampooing,Chauffage,Climatisation,Machine a laver,Seche-linge,Parking gratuit sur place,Internet sans fil,Television par cable,Petit dejeuner,Animaux acceptes,Pour familles/enfants,Adapte aux evenements,Logement fumeur,Acces handicapes,Ascenseur,Cheminee d'interieur,Interphone,Portier,Piscine,Jacuzzi,Salle de sport,Entree dans les lieux 24h/24,Cintres,Fer a repasser,Seche-cheveux,Espace de travail pour ordinateur,Detecteur de fumee,Detecteur de monoxyde,Kit de premiers secours,Fiche securite,Extincteur,Porte de la chambre avec verrou,Reduction a la semaine,Reduction au mois,Surcout par voyageur supplementaire,Frais de menage,Caution,Duree minimale du sejour,Animal sur place,Conditions d'annulation,Disponible
441328,<!-- react-text: 193 -->Marseille entre Mer et Montagne<!-- /react-text -->,43.2471556375077,5.3825939043814,50,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,,X,,,X,,X,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,10,10,5,50,700,14,,,True
"450400,""<!-- react-text: 193 -->Appart-Galerie, centre, spacieux,calme,proche gare<!-- /react-text -->"",43.3019630600959,5.38476230543376,50,MARSEILLE,13,Appartement,3,Logement entier,5,1,1,3,,X,X,,X,,X,,,,,X,,,,X,,,,,X,X,,,,,X,X,X,X,X,X,X,,,,,2,2,12,35,700,1,,,True"
452483,<!-- react-text: 236 -->SUNNY STUDIO - HEART OF MARSEILLE<!-- /react-text -->,43.2944384741348,5.37662731409887,60,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,Vrai lit,X,X,X,,,X,,X,X,,X,X,,,X,,,,,,X,,,,,,,,X,,,,,,,,0,0,0,0,0,2,,,True
456156,<!-- react-text: 236 -->Mini studio Vieux Port de Marseille<!-- /react-text -->,43.2961430756378,5.37691228746891,37,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,1,Vrai lit,X,X,,X,,X,,,,,X,,,,,,,,,,X,,,,,,X,,,,X,,,,,,10,10,10,10,100,1,,,True
"457171,""T2 40m² Marseille centre &amp, terrasse"",43.2974353293938,5.3858331304705,58,MARSEILLE,13,Appartement,3,Logement entier,3,1,1,0,Vrai lit,X,X,X,X,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,10,30,300,3,,,False"
473490,Appart avec cour en plein centre,43.2910461161434,5.38848647248867,135,MARSEILLE,13,Appartement,3,Logement entier,7,2,5,0,,X,X,X,X,,X,,X,,,X,,,X,X,X,,X,,,,,,,,,X,X,X,,,,,,,,10,0,0,60,400,2,,,True
481018,<!-- react-text: 193 -->Chambre douillette avec jardin<!-- /react-text -->,43.2996192237371,5.38600558058193,35,MARSEILLE,13,Bed & Breakfast,2,Chambre privee,2,0,1,2,,X,X,,X,,X,,,,,X,,X,,X,,,,,,X,,,,,,,X,X,X,,,X,X,,,11,11,0,10,0,2,,,True
484990,<!-- react-text: 193 -->Appt centre de Marseille grd jardin<!-- /react-text -->,43.2958660328421,5.38512499918562,65,MARSEILLE,13,Appartement,3,Logement entier,6,1,4,4,,X,X,,X,,X,,X,,,X,,,,X,,,,,,X,,,,,X,X,X,X,X,X,X,,X,X,,0,0,10,20,200,1,,,True
495324,<!-- react-text: 193 -->Duplex et toit terrasse vue mer Roof top sea view<!-- /react-text -->,43.2991109185916,5.36582451257231,113,MARSEILLE,13,Appartement,3,Logement entier,5,1,2,2,,X,X,,,,X,,X,,,X,,,,X,X,,,,,X,,,,,,,X,,X,X,X,,,X,,0,0,0,80,400,3,,,True
496622,Appartement avec vue panoramique,43.3073146660945,5.39649289885024,70,MARSEILLE,13,Appartement,3,Logement entier,4,1,2,0,,X,X,X,,,X,,X,X,X,X,X,,,X,,,,X,,X,,,,,,,,,,,,,,,,7,30,0,30,601,6,,,False
